id,vessel_id,lat,lon,speed,course,status,destination,eta,last_report_at,recorded_at,geom
9560,3,-7.1989784,112.72995,0,35°,Stopped,"","",2026-05-15 09:27:00+07,2026-05-15 09:34:29.528265+07,0101000020E6100000C66D3480B72E5C400E7162FEC0CB1CC0
9566,3,-7.1989784,112.72993,0,35°,Stopped,"","",2026-05-15 09:43:00+07,2026-05-15 09:51:12.379019+07,0101000020E6100000A297512CB72E5C400E7162FEC0CB1CC0
9572,3,-7.1989965,112.72992,0,35°,Stopped,"","",2026-05-15 10:01:00+07,2026-05-15 10:09:35.416898+07,0101000020E6100000912C6002B72E5C40E8120EBDC5CB1CC0
9578,3,-7.1841569,112.69077,14.6,308°,Underway by Sail,"","",2026-05-15 10:21:00+07,2026-05-15 10:30:22.547062+07,0101000020E6100000B5C35F93352C5C40BA545BA093BC1CC0
9584,3,-7.1059,112.65734,15.1,358.7°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-15 10:42:00+07,2026-05-15 10:47:20.304142+07,0101000020E61000009296CADB112A5C40EA95B20C716C1CC0
9588,3,-7.0317817,112.66976,15.8,19°,Underway by Sail,"","",2026-05-15 10:59:00+07,2026-05-15 11:06:54.992625+07,0101000020E6100000D00A0C59DD2A5C40F471C8618B201CC0
9594,3,-6.9460583,112.71585,10.1,18°,Underway by Sail,"","",2026-05-15 11:23:00+07,2026-05-15 11:30:33.708493+07,0101000020E6100000DDB5847CD02D5C40FB6FCA81C3C81BC0
9598,3,-6.8935852,112.73486,13.6,32°,Underway by Sail,"","",2026-05-15 11:44:00+07,2026-05-15 11:51:32.678015+07,0101000020E6100000DEC83CF2072F5C402CC2A8FF07931BC0
9604,3,-6.84756,112.78319,13,55.9°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-15 12:02:00+07,2026-05-15 12:06:15.907258+07,0101000020E61000007923F3C81F325C404E97C5C4E6631BC0
9610,3,-6.8173165,112.83576,12.8,63°,Underway by Sail,"","",2026-05-15 12:19:00+07,2026-05-15 12:27:07.936388+07,0101000020E610000084D382177D355C40BBECD79DEE441BC0
